artifact,type,name,version,purl
source,library,asn1,0.2.6,pkg:npm/asn1@0.2.6
source,library,asn1,0.2.6,pkg:npm/asn1@0.2.6
source,library,asn1.js,4.10.1,pkg:npm/asn1.js@4.10.1
source,library,assert,1.5.1,pkg:npm/assert@1.5.1
source,library,assert-plus,1.0.0,pkg:npm/assert-plus@1.0.0
source,library,assert-plus,1.0.0,pkg:npm/assert-plus@1.0.0
source,library,assign-symbols,1.0.0,pkg:npm/assign-symbols@1.0.0
source,library,ast-types,0.9.6,pkg:npm/ast-types@0.9.6
source,library,ast-types-flow,0.0.7,pkg:npm/ast-types-flow@0.0.7
source,library,astral-regex,1.0.0,pkg:npm/astral-regex@1.0.0
source,library,async,2.6.4,pkg:npm/async@2.6.4
source,library,async,3.2.4,pkg:npm/async@3.2.4
source,library,async-each,1.0.6,pkg:npm/async-each@1.0.6
source,library,async-each-series,1.1.0,pkg:npm/async-each-series@1.1.0
source,library,async-function,1.0.0,pkg:npm/async-function@1.0.0
source,library,async-limiter,1.0.1,pkg:npm/async-limiter@1.0.1
source,library,asynckit,0.4.0,pkg:npm/asynckit@0.4.0
source,library,asynckit,0.4.0,pkg:npm/asynckit@0.4.0
source,library,atob,2.1.2,pkg:npm/atob@2.1.2
source,library,autoprefixer,9.8.8,pkg:npm/autoprefixer@9.8.8
source,library,available-typed-arrays,1.0.7,pkg:npm/available-typed-arrays@1.0.7
source,library,aws-sign2,0.7.0,pkg:npm/aws-sign2@0.7.0
source,library,aws-sign2,0.7.0,pkg:npm/aws-sign2@0.7.0
source,library,aws/aws-crt-php,v1.2.7,pkg:composer/aws/aws-crt-php@v1.2.7
source,library,aws/aws-sdk-php,3.349.3,pkg:composer/aws/aws-sdk-php@3.349.3
source,library,aws4,1.11.0,pkg:npm/aws4@1.11.0
source,library,aws4,1.13.2,pkg:npm/aws4@1.13.2
source,library,axios,0.18.1,pkg:npm/axios@0.18.1
source,library,axobject-query,2.2.0,pkg:npm/axobject-query@2.2.0
source,library,babel-code-frame,6.26.0,pkg:npm/babel-code-frame@6.26.0
source,library,babel-core,6.26.3,pkg:npm/babel-core@6.26.3
source,library,babel-core,7.0.0-bridge.0,pkg:npm/babel-core@7.0.0-bridge.0
source,library,babel-eslint,10.0.1,pkg:npm/babel-eslint@10.0.1
source,library,babel-generator,6.26.1,pkg:npm/babel-generator@6.26.1
source,library,babel-helpers,6.24.1,pkg:npm/babel-helpers@6.24.1
source,library,babel-jest,23.6.0,pkg:npm/babel-jest@23.6.0
source,library,babel-loader,8.0.4,pkg:npm/babel-loader@8.0.4
source,library,babel-messages,6.23.0,pkg:npm/babel-messages@6.23.0
source,library,babel-plugin-dynamic-import-node,2.2.0,pkg:npm/babel-plugin-dynamic-import-node@2.2.0
source,library,babel-plugin-istanbul,4.1.6,pkg:npm/babel-plugin-istanbul@4.1.6
source,library,babel-plugin-jest-hoist,23.2.0,pkg:npm/babel-plugin-jest-hoist@23.2.0
source,library,babel-plugin-lodash,3.3.4,pkg:npm/babel-plugin-lodash@3.3.4
source,library,babel-plugin-react-intl,3.0.1,pkg:npm/babel-plugin-react-intl@3.0.1
source,library,babel-plugin-react-transform,3.0.0,pkg:npm/babel-plugin-react-transform@3.0.0
source,library,babel-plugin-styled-components,1.8.0,pkg:npm/babel-plugin-styled-components@1.8.0
source,library,babel-plugin-syntax-dynamic-import,6.18.0,pkg:npm/babel-plugin-syntax-dynamic-import@6.18.0
source,library,babel-plugin-syntax-object-rest-spread,6.13.0,pkg:npm/babel-plugin-syntax-object-rest-spread@6.13.0
source,library,babel-plugin-transform-react-remove-prop-types,0.4.19,pkg:npm/babel-plugin-transform-react-remove-prop-types@0.4.19
source,library,babel-preset-jest,23.2.0,pkg:npm/babel-preset-jest@23.2.0
source,library,babel-register,6.26.0,pkg:npm/babel-register@6.26.0
source,library,babel-runtime,6.26.0,pkg:npm/babel-runtime@6.26.0
source,library,babel-template,6.26.0,pkg:npm/babel-template@6.26.0
source,library,babel-traverse,6.26.0,pkg:npm/babel-traverse@6.26.0
source,library,babel-types,6.26.0,pkg:npm/babel-types@6.26.0
source,library,babylon,6.18.0,pkg:npm/babylon@6.18.0
source,library,bail,1.0.5,pkg:npm/bail@1.0.5
source,library,balanced-match,1.0.2,pkg:npm/balanced-match@1.0.2
source,library,balanced-match,1.0.2,pkg:npm/balanced-match@1.0.2
source,library,base,0.11.2,pkg:npm/base@0.11.2
source,library,base64-js,1.5.1,pkg:npm/base64-js@1.5.1
source,library,baseline-browser-mapping,2.11.21,pkg:npm/baseline-browser-mapping@2.11.21
source,library,bcrypt-pbkdf,1.0.2,pkg:npm/bcrypt-pbkdf@1.0.2
source,library,bcrypt-pbkdf,1.0.2,pkg:npm/bcrypt-pbkdf@1.0.2
source,library,beeper,1.1.1,pkg:npm/beeper@1.1.1
source,library,big.js,3.2.0,pkg:npm/big.js@3.2.0
source,library,big.js,5.2.2,pkg:npm/big.js@5.2.2
source,library,bignumber.js,2.4.0,pkg:npm/bignumber.js@2.4.0
source,library,bin-build,2.2.0,pkg:npm/bin-build@2.2.0
source,library,bin-build,3.0.0,pkg:npm/bin-build@3.0.0
source,library,bin-check,2.0.0,pkg:npm/bin-check@2.0.0
source,library,bin-check,4.1.0,pkg:npm/bin-check@4.1.0
source,library,bin-version,1.0.4,pkg:npm/bin-version@1.0.4
source,library,bin-version,3.1.0,pkg:npm/bin-version@3.1.0
source,library,bin-version-check,2.1.0,pkg:npm/bin-version-check@2.1.0
source,library,bin-version-check,4.0.0,pkg:npm/bin-version-check@4.0.0
source,library,bin-wrapper,3.0.2,pkg:npm/bin-wrapper@3.0.2
source,library,bin-wrapper,4.1.0,pkg:npm/bin-wrapper@4.1.0
source,library,binary,0.3.0,pkg:npm/binary@0.3.0
source,library,binary-extensions,1.13.1,pkg:npm/binary-extensions@1.13.1
source,library,binary-extensions,2.3.0,pkg:npm/binary-extensions@2.3.0
source,library,bindings,1.5.0,pkg:npm/bindings@1.5.0
source,library,bl,1.2.3,pkg:npm/bl@1.2.3
source,library,bluebird,3.7.2,pkg:npm/bluebird@3.7.2
source,library,bmp-js,0.0.3,pkg:npm/bmp-js@0.0.3
source,library,bn.js,4.12.5,pkg:npm/bn.js@4.12.5
source,library,bn.js,5.2.5,pkg:npm/bn.js@5.2.5
source,library,body-parser,1.18.3,pkg:npm/body-parser@1.18.3
source,library,boolbase,1.0.0,pkg:npm/boolbase@1.0.0
source,library,brace,0.11.1,pkg:npm/brace@0.11.1
source,library,brace-expansion,1.1.11,pkg:npm/brace-expansion@1.1.11
source,library,brace-expansion,1.1.18,pkg:npm/brace-expansion@1.1.18
source,library,braces,1.8.5,pkg:npm/braces@1.8.5
source,library,braces,2.3.2,pkg:npm/braces@2.3.2
source,library,braces,3.0.3,pkg:npm/braces@3.0.3
source,library,brcast,3.0.2,pkg:npm/brcast@3.0.2
source,library,brorand,1.1.0,pkg:npm/brorand@1.1.0
source,library,browser-cookies,1.2.0,pkg:npm/browser-cookies@1.2.0
source,library,browser-process-hrtime,1.0.0,pkg:npm/browser-process-hrtime@1.0.0
source,library,browser-resolve,1.11.3,pkg:npm/browser-resolve@1.11.3
source,library,browserify-aes,1.2.0,pkg:npm/browserify-aes@1.2.0
source,library,browserify-cipher,1.0.1,pkg:npm/browserify-cipher@1.0.1
